                                Short Name
Ajay Beniwal (AB)                     AB
Abhishek Gupta (AG1)            AG1
Abhishek Jindal (AJ)            AJ

Abhishek Kantilal Tilva (AKT)   AKT
Aditya Tatu (AT)                AT
Ajay Tomar (AT3)                AT3
Ajit Kumar Singh (AKS)          AKS
Amishal Modi (AM)               AM
Amit Mankodi (AMK)              AMK
Anirban Dutta Gupta(ADG)        ADG
Anish Mathuria (AMM)            AMM
Ankit Vijayvargiya (AV)         AV
Ankush Chander (AC)             AC
Anupam Rana (AR3)               AR3
Arnab Ray (AR)                  AR
Arpit Rana (AR2)                AR2
Arpita Mal (AM2)                AM2
Bharani Kollipara (BK)    BK
Bhaskar Chaudhury (BC)    BC
B.B. Chakrbarti (BBC)     BBC
Biswajit Mishra (BM)      BM
Bibin Baby John (BBJ)     BBJ
Cyril Jos (CJ)            CJ
Dhiraj Golhar (DG)        DG
Gautam Dutta (GD)         GD
Gangeya Mukherjee(GM)     GM
Gopinath Panda (GP)       GP
G. Venkatesh (GV)         GV
H S Jattana (HSJ)         HSJ
Heman Patil (HP)          HP
J Lalchandani (JL)        JL
Jenson Joseph (JJ)        JJ
Kalyan Sasidhar (PKS)     PKS
K C Supekar (KCS)         KCS
Madhukant Sharma (MS)     MS
Madhumita Mazumdar (MM)   MM
Manik Lal Das (MLD)       MLD
Manish Kumar (MK2)        MK2
Manjunath V Joshi (MVJ)   MVJ
Manish Chaturvedi (MC)    MC
Manoj K Raut (MKR)        MKR
Minal Bhise (MB)          MB
Mukesh Tiwari (MT)        MT
Nabin K Sahu (NKS)        NKS
Nandini Banerjee (NB)     NB
Naresh Jotwani (NJ)       NJ
Pankaj Kumar (PK)         PK
Parul Gupta (PG)          PG
Pokhar M Jat (PMJ)        PMJ
Pratim Roy (PR)           PR
Pritam Anand (PA)         PA
Prosenjit Kundu (PK2)     PK2

Pushpendra Kumar (PK3)    PK3
Puneet Bhateja (PB)       PB
Purbasha Das (PD)         PD
Rachit Chhaya(RC)         RC
Rahul Muthu (RM)          RM
Rajib L Das (RLD)              RLD
Ratna Bharti (RB)              RB
Rutu Parekh (RP)               RP
Sandip Modha (SM1)             SM1
Sanjay Srivastava (SS)         SS
Saurabh Tiwari (ST)            ST
Shefali Jha (SJ)               SJ
Satvik Gupta (SG)              SG
Shruti Bhilare (SB)            SB
Sourish Dasgupta (SDG)         SDG
Sreeja Rajendran (SR)          SR
Srimanta Mandal (SM)           SM
Sudip Bera (SB2)               SB2
Subhashish Basak (SB3)         SB3
Sujay Kadam (SK)               SK
Subhas C Nandy (SCN)           SCN
Supantha Pandit (SP)           SP
Swati Priya (SP1)              SP1
Tapas K Maiti (TKM)            TKM
Tathagata Bandyopadhyay (TB)   TB
V Sunitha (VS)             VS
Vinay S Palaparthy (VSP)   VSP
Vinod Mall (VM)            VM
Vishvajit Pandya (VP)      VP
Yash Agrawal (YA)          YA
Yash Vasavada (YV)         YV
Visiting Faculty (VF)

